movieId,bag_of_words
1,"toy,stori,adventure,animation,children,comedy,fantasy,johnlasseter,tomhanks,timallen,donrickles,jimvarney,anim,dinosaur,cowboy,lotheart,familifilm,interest,cgi,kidmovi,americananim,disney,pixaranim,disneyanimfeatur,erlendsdvd,lovablcharact,goodanim,ss,ratedg,wantseeagain,firstcgifilm,kidfamili,osdoiviram,funfamilimovi,unlikfriendship,fastfuriou,greatmovie,3d,toyplay,cgiclassic,avi,buy,monster,touchstori,scifi,usa,nostalg,dvdvideo,clv,bdvideo,2009reissustereoscop3d,villianhurttoy,whimsica,lightheart,toystori,yaboy,sooth,want,action,own,rainidaywatchlist,animm,bestrottentomatoalltime,almostfavorit,bright,darerescu,fanci,heroicmission,johnlasset,light,toycomelife,warm,engag,digit,innov,goodtime,rous,funniline,boy,walkitalki,childrencartoon,watch,timallen,fun,unni,pixar,cartoon,witti,excitplot,timetravel,pixar,imdbtop250,humor,funni,fantasi,disney,clever,buddimovi,cartoon,cgi,comedi,computanim,famili,feelgood,friendship,toy,toy,adventur,anim,children,classic,kid,itaeg,tomhank,actionfigur,toycomelife,rivalri,resourc,rescu,actionfigur,neighborhood,mission,martialart,jealousi,friend,bulli,boynextdoor,boy,anim,tumeysvh,newtoy,childish,tumeysseeagain,buzzlightyear,cganim,josswhedon,unlikfriendship,timallen,tomhank,woodi,doll,nationfilmregistri,good,cute,stori,goodcartoonchindren,voicact"
2,"jumanji,adventure,children,fantasy,joejohnston,robinwilliams,kirstendunst,bonniehunt,jonathanhyde,newhome,giantinsect,disappear,basechildrensbook,horrifihorrorgenr,magicboardgame,dynamcgiaction,reclus,thrill,kid,lebbat,seealsozathura,bakerviu,adventur,famili,kid,adaptbook,herdcgianim,children,rainidaywatchlist,clv,fiction,fantasi,comedi,saturnawardbestsupportactress,itaeg,fantasi,adaptbook,anim,badcgi,basebook,boardgame,children,chrivanallsburg,filmbc,jungl,kidflick,childhoodrecaptur,monkey,robinwilliam,saturnawardbestspecialeffect,game,scari,time,timetravel,childish,joejohnston,children,kirstendunst"
3,"grumpier,old,men,comedy,romance,howarddeutch,waltermatthau,jacklemmon,ann-margret,sophialoren,funniestmovi,sequel,oldpeoplactualfunni,nofagan,grunrun,clv,comedi,howarddeutch,funni,sequelfever,oldman,bestfriend,waltermatthau,sophialoren,jacklemmon,goodsoundtrack,fish,darylhannah,burgessmeredith,annmargaret,old,moldi,duringcreditssting"
4,"wait,exhal,comedy,drama,romance,forestwhitaker,whitneyhouston,angelabassett,lorettadevine,lelarochon,clv,reveng,singlmother,interracirelationship,divorc,chickflick,girlmovi,charact,basenovelbook"
5,"father,bride,part,ii,comedy,charlesshyer,stevemartin,dianekeaton,martinshort,kimberlywilliams-paisley,worstmoviever,humor,sequelfever,touch,comedi,fantasi,wed,stevemartin,sequel,famili,clv,watchunderduress,diankeaton,childhoodclassic,thoughtfunnint,stevemartin,pregnanc,remak,babi,age,contracept,daughter,gynecologist,midlifcrisi,parentchildrelationship,confid"
6,"heat,action,crime,thriller,michaelmann,alpacino,robertdeniro,valkilmer,jonvoight,tumeysdvd,nucleu,slowpace,bore,cultfilm,setla,loangel,alpacinovsrobertdeniro,authentgunfight,imdbtop250,toughguy,honor,slick,bechdeltestfail,recommendztoppick,rviolenc,rlanguag,bleak,caredvd,rob,al,viscer,violent,tragicend,thiev,thief,teenaggirl,synthessoundtrack,seen2010,need,own,long,suicid,thirdactproblem,realist,heist,action,hdmkv,clv,1,cantrememb,vontatott,want,seen2011,underst,action,netflixqueue,witti,robertdeniro,alpacino,reallife,individu,bibliothek,alrobert,top10ever,mine,bluray,soundtrack,esunpocdelodesempre,75filmaffin,erlendsdvd,authent,somber,profession,onelastjob,polic,complexcharact,robberi,philosophi,heist,marikircher,endlame,r,clearplay,valkilmer,tens,suspens,robertdeniro,crime,realistaction,nataliportman,michaelmann,gunfight,greatact,dialogu,careercrimin,atmospher,alpacino,relationship,heist,crime,bankrobberi,overr,realist,btaeg,vivianvive,dumb,onelastheist,obsess,neonoir,murder,malefemalrelationship,loangel,long,clich,jonvoight,heistmovi,gang,excon,ensemblcast,electronsoundtrack,detect,loner,crimeepic,criminmastermind,hollywood,lame,gun,amazcast,ashleyjudd,adulteri,bankheist,bankjob,betray,captiv,catmous,chase"
7,"sabrina,comedy,romance,sydneypollack,harrisonford,juliaormond,gregkinnear,nancymarchand,nofagan,relationship,comedi,love,romantiqu,siblrelationship,nancimarchand,breakout,remakeofsabrina1954,upstairsdownstair,sexual,romanc,clv,pari,remadeasabrina1995,millionair,goodmaybbetterorigin,fusion,gregkinnear,romanc,chickflick,find,harrisonford,pari,remak,baseplay,longisland,drama,greatcast,juliaormond,lovestori,chauffeur,ugliduckl"
8,"tom,huck,adventure,children,peterhewitt,jonathantaylorthomas,bradrenfro,charlesrocket,ericschweig,peterhewitt,authormarktwain,adaptbook,librarisystem,basebook,disney,marktwain"
9,"sudden,death,action,peterhyams,jean-claudevandamme,powersboothe,raymondj.barry,whittniwright,jeanclaudvandamm,cantrememb,peterhyam,action,clv,terrorist,hostag,explos,jeanclaudvandamm,vicepresid"
10,"goldeney,action,adventure,thriller,martincampbell,piercebrosnan,seanbean,izabellascorupco,famkejanssen,famkjanssen,sexual,onelin,memorline,memorcharact,gooddialogu,seanbeandie,dark,puertorico,latinamerica,franchis,caribbean,funni,assassin,007moviba,murder,judidench,bdvideo,femmfatal,pseudorate,bestbrosnonbond,clv,killerprotagonist,tankchasescene,okmovilikejameboun,seen,own,thriller,computgame,classic,bond,007seri,mtskaf,action,adventure,007,jamebond,piercbrosnan,bobola,btaeg,bond,gadget,secretservic,sequel,spi,violenc,jamebond,espionag,sgoodmoviend007alwaysame,boytoy,computviru,timebomb,tumeysdvd,spetersburgrussia,specialcar,secretintelligservic,secretbase,satellit,secretident,redarmi,kgb,falsaccus,electromagnetpuls,cuba,cossack"
